file_name,total_words_qwen,total_words_openai,different_words_in_qwen,different_words_in_openai,different_chars_in_qwen,different_chars_in_openai,total_different_chars,total_different_words
TCGA-A5-A0G1,1464,1252,277,65,2071,8995,11066,342
TCGA-A5-A0G2,1134,937,268,71,1908,8709,10617,339
TCGA-A5-A0G3,1229,15,1229,15,8053,339,8392,1244
TCGA-A5-A0G5,2547,14,2547,14,16340,283,16623,2561
TCGA-A5-A0G9,2238,1958,363,83,2436,8915,11351,446
TCGA-A5-A0GA,2505,3930,718,2143,4123,13109,17232,2861
TCGA-A5-A0GB,2006,1793,301,88,1955,8741,10696,389
TCGA-A5-A0GD,1720,1523,293,96,1980,8964,10944,389
TCGA-A5-A0GE,1540,753,839,52,4190,8532,12722,891
TCGA-A5-A0GG,1781,1524,314,57,2163,8672,10835,371
TCGA-A5-A0GH,1238,1001,294,57,1973,8617,10590,351
TCGA-A5-A0GI,1945,1666,356,77,2460,9023,11483,433
TCGA-A5-A0GJ,2195,1823,411,39,2782,8856,11638,450
TCGA-A5-A0GM,1762,1433,375,46,2388,8577,10965,421
TCGA-A5-A0GN,1793,1587,238,32,1549,8828,10377,270
TCGA-A5-A0GP,814,610,243,39,1584,8505,10089,282
TCGA-A5-A0GQ,883,463,445,25,2990,8555,11545,470
TCGA-A5-A0GR,1376,1192,258,74,1525,8806,10331,332
TCGA-A5-A0GU,1062,2539,358,1835,2352,12261,14613,2193
TCGA-A5-A0GV,1344,1062,350,68,2210,8669,10879,418
TCGA-A5-A0GW,1108,885,277,54,1776,9047,10823,331
TCGA-A5-A0GX,1919,1602,383,66,2526,8874,11400,449
TCGA-A5-A0R6,898,1602,850,1554,5159,18289,23448,2404
TCGA-A5-A0R7,1759,620,1211,72,3635,8847,12482,1283
TCGA-A5-A0R8,1479,1309,207,37,1288,8582,9870,244
TCGA-A5-A0R9,2317,2133,270,86,1468,9138,10606,356
TCGA-A5-A0RA,1604,1422,231,49,1474,9073,10547,280
TCGA-A5-A0VO,1894,1713,246,65,1353,8764,10117,311
TCGA-A5-A0VP,1731,14,1731,14,11317,277,11594,1745
TCGA-A5-A0VQ,1383,3044,448,2109,2925,13055,15980,2557
TCGA-A5-A1OF,914,929,63,78,355,7139,7494,141
TCGA-A5-A1OG,1661,1703,69,111,367,7029,7396,180
TCGA-A5-A1OJ,2105,2176,62,133,159,1204,1363,195
TCGA-A5-A1OK,2875,2927,116,168,411,7661,8072,284
TCGA-AJ-A23M,840,805,72,37,428,8192,8620,109
TCGA-AJ-A23O,906,925,39,58,151,901,1052,97
TCGA-AP-A051,295,70,250,25,1521,8667,10188,275
TCGA-AP-A052,242,22,238,18,1614,8471,10085,256
TCGA-AP-A054,243,22,239,18,1540,8472,10012,257
TCGA-AP-A056,622,373,281,32,1782,8726,10508,313
TCGA-AP-A059,473,112,384,23,2505,16801,19306,407
TCGA-AP-A05A,366,142,267,43,1693,8656,10349,310
TCGA-AP-A05D,587,30,579,22,3551,16705,20256,601
TCGA-AP-A05H,476,309,207,40,1530,9383,10913,247
TCGA-AP-A05J,334,151,208,25,1561,15749,17310,233
TCGA-AP-A05N,311,147,191,27,1552,8542,10094,218
TCGA-AP-A05O,473,277,279,83,1783,8936,10719,362
TCGA-AP-A05P,270,29,262,21,1911,139304,141215,283
TCGA-A5-A0G1,1464,1252,277,65,2071,8995,11066,342
TCGA-A5-A0G2,1134,937,268,71,1908,8709,10617,339
TCGA-A5-A0G3,1229,15,1229,15,8053,339,8392,1244
TCGA-A5-A0G5,2547,14,2547,14,16340,283,16623,2561
TCGA-A5-A0G9,2238,1958,363,83,2436,8915,11351,446
TCGA-A5-A0GA,2505,3930,718,2143,4123,13109,17232,2861
TCGA-A5-A0GB,2006,1793,301,88,1955,8741,10696,389
TCGA-A5-A0GD,1720,1523,293,96,1980,8964,10944,389
TCGA-A5-A0GE,1540,753,839,52,4190,8532,12722,891
TCGA-A5-A0GG,1781,1524,314,57,2163,8672,10835,371
TCGA-A5-A0GH,1238,1001,294,57,1973,8617,10590,351
TCGA-A5-A0GI,1945,1666,356,77,2460,9023,11483,433
TCGA-A5-A0GJ,2195,1823,411,39,2782,8856,11638,450
TCGA-A5-A0GM,1762,1433,375,46,2388,8577,10965,421
TCGA-A5-A0GN,1793,1587,238,32,1549,8828,10377,270
TCGA-A5-A0GP,814,610,243,39,1584,8505,10089,282
TCGA-A5-A0GQ,883,463,445,25,2990,8555,11545,470
TCGA-A5-A0GR,1376,1192,258,74,1525,8806,10331,332
TCGA-A5-A0GU,1062,2539,358,1835,2352,12261,14613,2193
TCGA-A5-A0GV,1344,1062,350,68,2210,8669,10879,418
TCGA-A5-A0GW,1108,885,277,54,1776,9047,10823,331
TCGA-A5-A0GX,1919,1602,383,66,2526,8874,11400,449
TCGA-A5-A0R6,898,1602,850,1554,5159,18289,23448,2404
