file,stats
TCGA-A5-A0G1,"{1: {'mean_probability': 0.9793671468893687, 'mean_log_probability': -0.03692423717108837, 'perplexity': 1.0376144052574636, 'min_probability': 0.044419869780540466, 'chars': 2011, 'words': 250}, 2: {'mean_probability': 0.9879056643529386, 'mean_log_probability': -0.021370141589285234, 'perplexity': 1.0216001183555263, 'min_probability': 0.07175897806882858, 'chars': 2698, 'words': 403}, 3: {'mean_probability': 0.995886083173309, 'mean_log_probability': -0.008127663505863645, 'perplexity': 1.0081607826291201, 'min_probability': 0.0583500936627388, 'chars': 3102, 'words': 548}, 4: {'mean_probability': 0.9823338947918576, 'mean_log_probability': -0.0454840757246656, 'perplexity': 1.0465343391802926, 'min_probability': 0.01453237235546112, 'chars': 1518, 'words': 247}}"
TCGA-A5-A0G2,"{1: {'mean_probability': 0.9753281819348912, 'mean_log_probability': -0.042808400570243314, 'perplexity': 1.0437378961056925, 'min_probability': 0.055518120527267456, 'chars': 1845, 'words': 227}, 2: {'mean_probability': 0.9953174078903765, 'mean_log_probability': -0.007438178181366033, 'perplexity': 1.0074659101444816, 'min_probability': 0.1520996391773224, 'chars': 2938, 'words': 517}, 3: {'mean_probability': 0.9661663901277406, 'mean_log_probability': -0.0742607146603286, 'perplexity': 1.0770875814163632, 'min_probability': 0.012014724314212799, 'chars': 2153, 'words': 378}}"
TCGA-A5-A0G3,"{1: {'mean_probability': 0.9746704897324362, 'mean_log_probability': -0.04144459064333682, 'perplexity': 1.0423154062252882, 'min_probability': 0.09559686481952667, 'chars': 2076, 'words': 276}, 2: {'mean_probability': 0.9995539848499252, 'mean_log_probability': -0.0004779574758367629, 'perplexity': 1.000478071715711, 'min_probability': 0.8541980385780334, 'chars': 2975, 'words': 472}, 3: {'mean_probability': 0.9965221110460131, 'mean_log_probability': -0.004700336022391506, 'perplexity': 1.004711399929655, 'min_probability': 0.2845521569252014, 'chars': 2073, 'words': 366}, 4: {'mean_probability': 0.9550225059191386, 'mean_log_probability': -0.10090607951436364, 'perplexity': 1.1061727446030931, 'min_probability': 0.03788994252681732, 'chars': 775, 'words': 99}}"
TCGA-A5-A0G5,"{1: {'mean_probability': 0.9767629047626486, 'mean_log_probability': -0.042579310552390594, 'perplexity': 1.043498813559198, 'min_probability': 0.02662169188261032, 'chars': 2405, 'words': 305}, 2: {'mean_probability': 0.9946685138665423, 'mean_log_probability': -0.008887788249990964, 'perplexity': 1.0089274019122865, 'min_probability': 0.15423065423965454, 'chars': 2440, 'words': 335}, 3: {'mean_probability': 0.9941084494917338, 'mean_log_probability': -0.009300910692672103, 'perplexity': 1.0093442985738068, 'min_probability': 0.14244751632213593, 'chars': 2340, 'words': 396}, 4: {'mean_probability': 0.9988834524874465, 'mean_log_probability': -0.0016610551681873428, 'perplexity': 1.0016624354844779, 'min_probability': 0.3072151243686676, 'chars': 3436, 'words': 582}, 5: {'mean_probability': 0.9992655129297405, 'mean_log_probability': -0.000809025988135124, 'perplexity': 1.000809353337932, 'min_probability': 0.7516154050827026, 'chars': 2464, 'words': 444}, 6: {'mean_probability': 0.9949475663977497, 'mean_log_probability': -0.007544024995727082, 'perplexity': 1.0075725528454433, 'min_probability': 0.21586930751800537, 'chars': 2189, 'words': 335}, 7: {'mean_probability': 0.9394269992874281, 'mean_log_probability': -0.1156566674599532, 'perplexity': 1.122610377288262, 'min_probability': 0.03740188106894493, 'chars': 920, 'words': 122}}"
TCGA-A5-A0G9,"{1: {'mean_probability': 0.9739560680753304, 'mean_log_probability': -0.05316745806169909, 'perplexity': 1.0546062326490158, 'min_probability': 0.028363589197397232, 'chars': 2482, 'words': 323}, 2: {'mean_probability': 0.989559268229469, 'mean_log_probability': -0.01831658471810005, 'perplexity': 1.0184853622571808, 'min_probability': 0.13159964978694916, 'chars': 2564, 'words': 376}, 3: {'mean_probability': 0.9981980674134361, 'mean_log_probability': -0.002244624735575062, 'perplexity': 1.002247145791599, 'min_probability': 0.5134730935096741, 'chars': 3488, 'words': 554}, 4: {'mean_probability': 0.9940748301191319, 'mean_log_probability': -0.012036546152096162, 'perplexity': 1.0121092768897597, 'min_probability': 0.057483986020088196, 'chars': 3279, 'words': 547}, 5: {'mean_probability': 0.992241030327303, 'mean_log_probability': -0.012291272415117982, 'perplexity': 1.0123671205420124, 'min_probability': 0.21776680648326874, 'chars': 2125, 'words': 361}, 6: {'mean_probability': 0.9744933024048805, 'mean_log_probability': -0.03609884036467327, 'perplexity': 1.0367583149967603, 'min_probability': 0.2965925931930542, 'chars': 405, 'words': 53}}"
TCGA-A5-A0GA,"{1: {'mean_probability': 0.9796860385212296, 'mean_log_probability': -0.0342582809217804, 'perplexity': 1.0348518547050447, 'min_probability': 0.029780928045511246, 'chars': 1522, 'words': 221}, 2: {'mean_probability': 0.9967692001612353, 'mean_log_probability': -0.004603014819363584, 'perplexity': 1.0046136249653839, 'min_probability': 0.276328444480896, 'chars': 2374, 'words': 386}, 3: {'mean_probability': 0.9960552009298971, 'mean_log_probability': -0.007107456628985867, 'perplexity': 1.0071327745453063, 'min_probability': 0.07521744072437286, 'chars': 3871, 'words': 649}, 4: {'mean_probability': 0.9957178725752303, 'mean_log_probability': -0.009847400697984171, 'perplexity': 1.0098960458933621, 'min_probability': 0.07043970376253128, 'chars': 2675, 'words': 473}, 5: {'mean_probability': 0.997711721615877, 'mean_log_probability': -0.003100972435372926, 'perplexity': 1.0031057854240912, 'min_probability': 0.3462620675563812, 'chars': 2923, 'words': 510}, 6: {'mean_probability': 0.9770279797506921, 'mean_log_probability': -0.0426798885817001, 'perplexity': 1.0436037718916154, 'min_probability': 0.05102567747235298, 'chars': 1749, 'words': 242}}"
TCGA-A5-A0GB,"{1: {'mean_probability': 0.974340667933973, 'mean_log_probability': -0.0489236637308834, 'perplexity': 1.05014018389656, 'min_probability': 0.023080924525856972, 'chars': 2203, 'words': 274}, 2: {'mean_probability': 0.9971668936155893, 'mean_log_probability': -0.0033866096685740556, 'perplexity': 1.0033923507101572, 'min_probability': 0.489033579826355, 'chars': 2491, 'words': 351}, 3: {'mean_probability': 0.9976894867452071, 'mean_log_probability': -0.003936975489873586, 'perplexity': 1.0039447355582685, 'min_probability': 0.11795882880687714, 'chars': 3277, 'words': 545}, 4: {'mean_probability': 0.9915140484130668, 'mean_log_probability': -0.019402024220028038, 'perplexity': 1.0195914666976376, 'min_probability': 0.012103954330086708, 'chars': 2792, 'words': 502}, 5: {'mean_probability': 0.9671937473798153, 'mean_log_probability': -0.07153319942676503, 'perplexity': 1.0741538114001492, 'min_probability': 0.016416659578680992, 'chars': 2093, 'words': 314}}"
TCGA-A5-A0GD,"{1: {'mean_probability': 0.9724781509096984, 'mean_log_probability': -0.05550227636650536, 'perplexity': 1.057071423351666, 'min_probability': 0.01899455301463604, 'chars': 2036, 'words': 241}, 2: {'mean_probability': 0.9910602467761045, 'mean_log_probability': -0.018547413570601943, 'perplexity': 1.0187204852001763, 'min_probability': 0.0205592792481184, 'chars': 2537, 'words': 363}, 3: {'mean_probability': 0.9964547735352756, 'mean_log_probability': -0.006117279036142571, 'perplexity': 1.0061360277985192, 'min_probability': 0.1456628143787384, 'chars': 3198, 'words': 565}, 4: {'mean_probability': 0.9977164943363479, 'mean_log_probability': -0.0030026828290346964, 'perplexity': 1.0030071953965933, 'min_probability': 0.3807445764541626, 'chars': 1937, 'words': 367}, 5: {'mean_probability': 0.9536914843280452, 'mean_log_probability': -0.08483414805690513, 'perplexity': 1.0885365158301763, 'min_probability': 0.04164925590157509, 'chars': 1215, 'words': 164}}"
TCGA-A5-A0GE,"{1: {'mean_probability': 0.9742881008901466, 'mean_log_probability': -0.04499442990506148, 'perplexity': 1.046022033450456, 'min_probability': 0.021094605326652527, 'chars': 2091, 'words': 243}, 2: {'mean_probability': 0.9990118463363873, 'mean_log_probability': -0.0011040394657839286, 'perplexity': 1.001104649141703, 'min_probability': 0.7235895991325378, 'chars': 3258, 'words': 541}, 3: {'mean_probability': 0.9923107831145899, 'mean_log_probability': -0.01945010124915654, 'perplexity': 1.0196404868046425, 'min_probability': 0.018259946256875992, 'chars': 6570, 'words': 744}}"
TCGA-A5-A0GG,"{1: {'mean_probability': 0.9830300820220453, 'mean_log_probability': -0.032245217458607055, 'perplexity': 1.0327707276697402, 'min_probability': 0.06809220463037491, 'chars': 2240, 'words': 281}, 2: {'mean_probability': 0.9952674012945848, 'mean_log_probability': -0.006982384285148815, 'perplexity': 1.0070068179656453, 'min_probability': 0.2029590755701065, 'chars': 2663, 'words': 401}, 3: {'mean_probability': 0.9958361291093751, 'mean_log_probability': -0.007575049473581297, 'perplexity': 1.007603812742704, 'min_probability': 0.03936339169740677, 'chars': 3426, 'words': 594}, 4: {'mean_probability': 0.9918902856828291, 'mean_log_probability': -0.015381659630751466, 'perplexity': 1.01550056623529, 'min_probability': 0.07024701684713364, 'chars': 2136, 'words': 371}, 5: {'mean_probability': 0.9476251454431225, 'mean_log_probability': -0.10292047358260999, 'perplexity': 1.1084032582307428, 'min_probability': 0.011346963234245777, 'chars': 897, 'words': 114}}"
